name,genus,dexNumber,primaryType,colorTheme,hp,heightM,weightKg,flavorText,spriteUrl,showMotionPrompt
sandshrew,Mouse Pokémon,027,ground,yellow,50,0.6,12.0,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,true
sandslash,Mouse Pokémon,028,ground,yellow,75,1.0,29.5,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,true
nidoran-f,Poison Pin Pokémon,029,poison,blue,55,0.4,7.0,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,true
nidorina,Poison Pin Pokémon,030,poison,blue,70,0.8,20.0,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,true
nidoqueen,Drill Pokémon,031,poison,blue,90,1.3,60.0,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,true
nidoran-m,Poison Pin Pokémon,032,poison,purple,46,0.5,9.0,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,true
nidorino,Poison Pin Pokémon,033,poison,purple,61,0.9,19.5,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,true
nidoking,Drill Pokémon,034,poison,purple,81,1.4,62.0,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,true
clefairy,Fairy Pokémon,035,fairy,pink,70,0.6,7.5,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,true
clefable,Fairy Pokémon,036,fairy,pink,95,1.3,40.0,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,true
vulpix,Fox Pokémon,037,fire,brown,38,0.6,9.9,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,true
ninetales,Fox Pokémon,038,fire,yellow,73,1.1,19.9,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,true
jigglypuff,Balloon Pokémon,039,normal,pink,115,0.5,5.5,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,true
wigglytuff,Balloon Pokémon,040,normal,pink,140,1.0,12.0,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,true
zubat,Bat Pokémon,041,poison,purple,40,0.8,7.5,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,true
golbat,Bat Pokémon,042,poison,purple,75,1.6,55.0,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,true
oddish,Weed Pokémon,043,grass,blue,45,0.5,5.4,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,true
gloom,Weed Pokémon,044,grass,blue,60,0.8,8.6,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,true
vileplume,Flower Pokémon,045,grass,red,75,1.2,18.6,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,true
paras,Mushroom Pokémon,046,bug,red,35,0.3,5.4,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,true
parasect,Mushroom Pokémon,047,bug,red,60,1.0,29.5,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,true
venonat,Insect Pokémon,048,bug,purple,60,1.0,30.0,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,true
venomoth,Poison Moth Pokémon,049,bug,purple,70,1.5,12.5,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,true
diglett,Mole Pokémon,050,ground,brown,10,0.2,0.8,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,true
dugtrio,Mole Pokémon,051,ground,brown,35,0.7,33.3,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,true
meowth,Scratch Cat Pokémon,052,normal,yellow,40,0.4,4.2,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,true
persian,Classy Cat Pokémon,053,normal,yellow,65,1.0,32.0,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,true
psyduck,Duck Pokémon,054,water,yellow,50,0.8,19.6,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,true
golduck,Duck Pokémon,055,water,blue,80,1.7,76.6,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,true
mankey,Pig Monkey Pokémon,056,fighting,brown,40,0.5,28.0,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,true
primeape,Pig Monkey Pokémon,057,fighting,brown,65,1.0,32.0,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,true
growlithe,Puppy Pokémon,058,fire,brown,55,0.7,19.0,Very protective of its territory. It will bark and bite to repel intruders from its space.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,true
arcanine,Legendary Pokémon,059,fire,brown,90,1.9,155.0,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,true
poliwag,Tadpole Pokémon,060,water,blue,40,0.6,12.4,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,true
poliwhirl,Tadpole Pokémon,061,water,blue,65,1.0,20.0,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,true
poliwrath,Tadpole Pokémon,062,water,blue,90,1.3,54.0,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,true
abra,Psi Pokémon,063,psychic,brown,25,0.9,19.5,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,true
kadabra,Psi Pokémon,064,psychic,brown,40,1.3,56.5,It emits special alpha waves from its body that induce headaches just by being close by.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,true
alakazam,Psi Pokémon,065,psychic,brown,55,1.5,48.0,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,true
machop,Superpower Pokémon,066,fighting,gray,70,0.8,19.5,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,true
machoke,Superpower Pokémon,067,fighting,gray,80,1.5,70.5,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,true
machamp,Superpower Pokémon,068,fighting,gray,90,1.6,130.0,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,true
bellsprout,Flower Pokémon,069,grass,green,50,0.7,4.0,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,true
weepinbell,Flycatcher Pokémon,070,grass,green,65,1.0,6.4,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,true
victreebel,Flycatcher Pokémon,071,grass,green,80,1.7,15.5,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,true
tentacool,Jellyfish Pokémon,072,water,blue,40,0.9,45.5,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,true
tentacruel,Jellyfish Pokémon,073,water,blue,80,1.6,55.0,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,true
geodude,Rock Pokémon,074,rock,brown,40,0.4,20.0,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,true
graveler,Rock Pokémon,075,rock,brown,55,1.0,105.0,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,true
golem,Megaton Pokémon,076,rock,brown,80,1.4,300.0,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,true
ponyta,Fire Horse Pokémon,077,fire,yellow,50,1.0,30.0,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,true
rapidash,Fire Horse Pokémon,078,fire,yellow,65,1.7,95.0,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,true
slowpoke,Dopey Pokémon,079,water,pink,90,1.2,36.0,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,true
slowbro,Hermit Crab Pokémon,080,water,pink,95,1.6,78.5,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,true
magnemite,Magnet Pokémon,081,electric,gray,25,0.3,6.0,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,true
magneton,Magnet Pokémon,082,electric,gray,50,1.0,60.0,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,true
farfetchd,Wild Duck Pokémon,083,normal,brown,52,0.8,15.0,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,true
doduo,Twin Bird Pokémon,084,normal,brown,35,1.4,39.2,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,true
dodrio,Triple Bird Pokémon,085,normal,brown,60,1.8,85.2,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,true
seel,Sea Lion Pokémon,086,water,white,65,1.1,90.0,The protruding horn on its head is very hard. It is used for bashing through thick ice.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,true
dewgong,Sea Lion Pokémon,087,water,white,90,1.7,120.0,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,true
grimer,Sludge Pokémon,088,poison,purple,80,0.9,30.0,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,true
muk,Sludge Pokémon,089,poison,purple,105,1.2,30.0,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,true
shellder,Bivalve Pokémon,090,water,purple,30,0.3,4.0,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,true
cloyster,Bivalve Pokémon,091,water,purple,50,1.5,132.5,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,true
gastly,Gas Pokémon,092,ghost,purple,30,1.3,0.1,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,true
haunter,Gas Pokémon,093,ghost,purple,45,1.6,0.1,"Because of its ability to slip through block walls, it is said to be from an­ other dimension.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,true
gengar,Shadow Pokémon,094,ghost,purple,60,1.5,40.5,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,true
onix,Rock Snake Pokémon,095,rock,gray,35,8.8,210.0,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,true
drowzee,Hypnosis Pokémon,096,psychic,yellow,60,1.0,32.4,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,true
hypno,Hypnosis Pokémon,097,psychic,yellow,85,1.6,75.6,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,true
krabby,River Crab Pokémon,098,water,red,30,0.4,6.5,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png,true
kingler,Pincer Pokémon,099,water,red,55,1.3,60.0,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png,true
voltorb,Ball Pokémon,100,electric,red,40,0.5,10.4,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png,true
electrode,Ball Pokémon,101,electric,red,60,1.2,66.6,It stores electric energy under very high pressure. It often explodes with little or no provocation.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png,true
exeggcute,Egg Pokémon,102,grass,pink,60,0.4,2.5,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png,true
exeggutor,Coconut Pokémon,103,grass,yellow,95,2.0,120.0,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png,true
cubone,Lonely Pokémon,104,ground,brown,50,0.4,6.5,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png,true
marowak,Bone Keeper Pokémon,105,ground,brown,60,1.0,45.0,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png,true
hitmonlee,Kicking Pokémon,106,fighting,brown,50,1.5,49.8,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png,true
hitmonchan,Punching Pokémon,107,fighting,brown,50,1.4,50.2,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png,true
lickitung,Licking Pokémon,108,normal,pink,90,1.2,65.5,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png,true
koffing,Poison Gas Pokémon,109,poison,purple,40,0.6,1.0,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png,true
weezing,Poison Gas Pokémon,110,poison,purple,65,1.2,9.5,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png,true
rhyhorn,Spikes Pokémon,111,ground,gray,80,1.0,115.0,"A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png,true
rhydon,Drill Pokémon,112,ground,gray,105,1.9,120.0,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png,true
chansey,Egg Pokémon,113,normal,pink,250,1.1,34.6,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png,true
tangela,Vine Pokémon,114,grass,blue,65,1.0,35.0,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png,true
kangaskhan,Parent Pokémon,115,normal,brown,105,2.2,80.0,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png,true
horsea,Dragon Pokémon,116,water,blue,30,0.4,8.0,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png,true
seadra,Dragon Pokémon,117,water,blue,55,1.2,25.0,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png,true
goldeen,Goldfish Pokémon,118,water,red,45,0.6,15.0,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png,true
